totalIterations;numWorkers;Duree;Pi;Error
1000000;1;229;3,142800000000000;0,038431029841730
2000000;2;488;3,141632000000000;0,001252435135469
3000000;3;828;3,142589333333334;0,031725301572802
4000000;4;802;3,140850000000000;-0,023639397964106
5000000;5;1635;3,140783200000000;-0,025765708003811
6000000;6;1707;3,142039333333333;0,014218257832691
7000000;7;2108;3,141453142857143;-0,004440764543133
8000000;8;2907;3,142427000000000;0,026558071087083
9000000;9;2612;3,140920888888889;-0,021382934548705
10000000;10;2818;3,141167200000000;-0,013542608374355
11000000;11;4368;3,141397090909091;-0,006224953463611
12000000;12;4037;3,141607333333333;0,000467270749552
