totalIterations;numWorkers;Duree;Pi;Error
48000000;1;13111;3,141529083333333;-0,002023504109838
48000000;2;15029;3,141288666666667;-0,009676204290176
48000000;3;18197;3,141423000000000;-0,005400241485769
48000000;4;17448;3,141514333333333;-0,002493011191961
48000000;6;14072;3,141647083333333;0,001732552547133
48000000;8;13684;3,141819000000000;0,007204830007104
48000000;12;17061;3,141767583333333;0,005568186675646
48000000;1;10376;3,141263916666667;-0,010464021258485
48000000;2;13982;3,141392583333333;-0,006368434056246
48000000;3;14601;3,141202333333333;-0,012424279640898
48000000;4;18071;3,141303333333333;-0,009209349790445
48000000;6;22098;3,141594916666667;0,000072035974201
48000000;8;13948;3,141604416666667;0,000374430366076
48000000;1;10264;3,141636250000000;0,001387716837095
48000000;2;15966;3,141568416666667;-0,000771485224176
48000000;3;13286;3,141711750000000;0,003790956477779
48000000;4;14990;3,141609333333333;0,000530932726784
48000000;6;17207;3,141871500000000;0,008875956909576
48000000;8;18191;3,141860333333333;0,008520510869997
48000000;12;20987;3,141667333333333;0,002377130066653
48000000;1;10057;3,141882916666667;0,009239360696304
48000000;2;16264;3,141773250000000;0,005748562277814
48000000;3;21679;3,141624416666667;0,001011050138448
48000000;4;13576;3,141705750000000;0,003599970546070
48000000;6;22787;3,141490083333333;-0,003264912665959
48000000;8;13827;3,141544000000000;-0,001548691862944
48000000;12;24415;3,141663500000000;0,002255111276947
48000000;1;8810;3,141465250000000;-0,004055382216646
48000000;2;15874;3,141247500000000;-0,010986579988298
48000000;3;19340;3,141694333333333;0,003236566759342
48000000;4;14269;3,141528250000000;-0,002050029933690
48000000;6;20395;3,141456500000000;-0,004333903367060
48000000;8;19143;3,141896416666667;0,009669079042641
48000000;12;20166;3,141760750000000;0,005350674920085
48000000;1;11779;3,141883416666667;0,009255276190601
48000000;2;14456;3,141508000000000;-0,002694607453211
48000000;3;16918;3,141566833333334;-0,000821884289489
48000000;4;20609;3,141524083333334;-0,002182659052924
48000000;6;20696;3,141651500000000;0,001873139413529
48000000;8;23397;3,141923416666667;0,010528515735345
48000000;12;18524;3,141743916666667;0,004814853278338
48000000;1;14300;3,141368666666667;-0,007129725200703
48000000;2;16293;3,141289916666667;-0,009636415554404
48000000;3;13123;3,142269000000000;0,021528774885383
48000000;4;21246;3,141369833333334;-0,007092589047309
48000000;6;22233;3,141486333333333;-0,003384278873273
48000000;8;26481;3,141729500000000;0,004355956525756
48000000;12;13559;3,141386833333333;-0,006551462240806
