totalIterations;numWorkers;Duree;Pi;Error
1000000;1;42;3,140040000000000;0,000494224987450
2000000;2;48;3,140796000000000;0,000253582713495
3000000;3;53;3,140745333333333;0,000269710414395
4000000;4;54;3,142241000000000;0,000206375072041
5000000;5;59;3,141064000000000;0,000168275663998
6000000;6;55;3,141377333333333;0,000068538566327
7000000;7;57;3,141576000000000;0,000005301002272
8000000;8;60;3,141595000000000;0,000000746885566
9000000;9;62;3,141373333333333;0,000069811805872
10000000;10;68;3,142170800000000;0,000184029718031
11000000;11;83;3,142840727272728;0,000397274191964
12000000;12;81;3,141637333333333;0,000014222004081
1000000;1;25;3,140080000000000;0,000481492592002
2000000;2;29;3,141396000000000;0,000062596781785
3000000;3;30;3,141745333333333;0,000048599471789
4000000;4;32;3,141175000000000;0,000132943266631
5000000;5;34;3,141912800000000;0,000101905767395
6000000;6;35;3,141370666666667;0,000070660632235
7000000;7;38;3,141822285714286;0,000073094175411
8000000;8;38;3,141256500000000;0,000107001010907
9000000;9;38;3,141930666666667;0,000107592904028
10000000;10;44;3,141416800000000;0,000055975936152
11000000;11;40;3,141660363636364;0,000021552777217
12000000;12;44;3,140912000000000;0,000216658766698
1000000;1;25;3,142748000000000;0,000367758184336
2000000;2;32;3,141892000000000;0,000095284921762
3000000;3;31;3,143550666666667;0,000623254919646
4000000;4;31;3,141580000000000;0,000004027762727
5000000;5;35;3,142024800000000;0,000137556474648
6000000;6;35;3,140459333333333;0,000360747041844
7000000;7;34;3,140370285714286;0,000389091779327
8000000;8;37;3,140829000000000;0,000243078487251
9000000;9;36;3,140847555555556;0,000237172070474
10000000;10;39;3,141382000000000;0,000067053120191
11000000;11;38;3,141478909090909;0,000036205998494
12000000;12;42;3,141761666666667;0,000053798533263
1000000;1;24;3,140804000000000;0,000251036234405
2000000;2;29;3,141962000000000;0,000117566613795
3000000;3;30;3,142597333333333;0,000319799494817
4000000;4;31;3,143166000000000;0,000500811716761
5000000;5;35;3,140752800000000;0,000267333700578
6000000;6;37;3,141190666666667;0,000127956411748
7000000;7;35;3,140942285714286;0,000207018524430
8000000;8;39;3,141098000000000;0,000157453127867
9000000;9;37;3,140838222222222;0,000240142962745
10000000;10;40;3,141180800000000;0,000131097069291
11000000;11;39;3,141210545454546;0,000121628797041
12000000;12;52;3,142068666666667;0,000151519668322
1000000;1;26;3,142636000000000;0,000332107477083
2000000;2;28;3,140470000000000;0,000357351736391
3000000;3;33;3,141088000000000;0,000160636226729
4000000;4;31;3,141598000000000;0,000001701815224
5000000;5;34;3,141310400000000;0,000089844108042
6000000;6;36;3,141499333333333;0,000029704760212
7000000;7;37;3,142219428571428;0,000199508673067
8000000;8;36;3,141773000000000;0,000057406045307
9000000;9;39;3,141403111111111;0,000060333244816
10000000;10;41;3,140602400000000;0,000315207507460
11000000;11;39;3,141470545454546;0,000038868226633
12000000;12;51;3,142684666666667;0,000347598558211
1000000;1;24;3,139360000000000;0,000710675710055
2000000;2;29;3,140412000000000;0,000375813709790
3000000;3;31;3,140076000000000;0,000482765831547
4000000;4;31;3,141403000000000;0,000060368612581
5000000;5;32;3,141266400000000;0,000103849743034
6000000;6;35;3,141275333333333;0,000101006174718
7000000;7;38;3,141764000000000;0,000054541256331
8000000;8;35;3,142597500000000;0,000319852546465
9000000;9;41;3,141481333333333;0,000035434338164
10000000;10;36;3,142331200000000;0,000235086623774
11000000;11;41;3,141723636363636;0,000041693111834
12000000;12;45;3,141278000000000;0,000100157348354
1000000;1;25;3,139768000000000;0,000580805276492
