totalIterations;numWorkers;Duree;Pi;Error
48000000;1;782;3,141717083333333;0,000039607217504
48000000;2;468;3,141373916666667;0,000069626125105
48000000;3;291;3,141593750000000;0,000000348998208
48000000;4;234;3,141824666666667;0,000073852056093
48000000;6;165;3,141617666666667;0,000007961909653
48000000;8;190;3,141622666666667;0,000009553459084
48000000;12;315;3,141462583333333;0,000041402648530
48000000;1;806;3,141462833333333;0,000041323071058
48000000;2;407;3,141667750000000;0,000023903929786
48000000;3;296;3,141264916666667;0,000104321902699
48000000;4;214;3,141598666666667;0,000001914021815
48000000;6;191;3,142184500000000;0,000188390563471
48000000;8;138;3,141545833333333;0,000014903350505
48000000;12;127;3,141894833333333;0,000096186799773
48000000;1;750;3,142007416666667;0,000132023187793
48000000;2;387;3,141539583333334;0,000016892787293
48000000;3;276;3,141785750000000;0,000061464496355
48000000;4;220;3,141041833333333;0,000175331533141
48000000;6;162;3,141780416666667;0,000059766843629
48000000;8;138;3,141486666666667;0,000033736685437
48000000;12;131;3,141421666666667;0,000054426828039
48000000;1;764;3,141900333333334;0,000097937504147
48000000;2;396;3,141918250000000;0,000103640556275
48000000;3;286;3,141088000000000;0,000160636226729
48000000;4;221;3,141481000000000;0,000035540441459
48000000;6;182;3,141800416666667;0,000066133041353
48000000;8;132;3,141398833333333;0,000061694903774
48000000;12;147;3,141154916666667;0,000139335990179
48000000;1;909;3,141783833333333;0,000060854402407
48000000;2;392;3,141673916666667;0,000025866840751
48000000;3;303;3,141774666666667;0,000057936561784
48000000;4;224;3,141869583333333;0,000088149475147
48000000;6;166;3,141968000000000;0,000119476473112
48000000;8;148;3,141580333333333;0,000003921659432
48000000;12;134;3,141744916666667;0,000048466842670
48000000;1;740;3,141382416666667;0,000066920491072
48000000;2;388;3,141719083333333;0,000040243837277
48000000;3;277;3,141624750000000;0,000010216604680
48000000;4;222;3,141831083333333;0,000075894544529
48000000;6;164;3,141921583333333;0,000104701589229
48000000;8;135;3,141457583333333;0,000042994197961
48000000;12;148;3,141303333333333;0,000092093497904
